Original path,Portfolio filename,Review basis,Notes
Abdominal Aneurysm Analysis/Simvascular/Code Files/finding_R_p_and_d.m,Calculate_Proximal_Distal_Resistance_and_Compliance.m,Code or archive contents,
Abdominal Aneurysm Analysis/Simvascular/Code Files/mean.m,Calculate_Mean_Inflow_and_Arterial_Pressure.m,Code or archive contents,
Abdominal Aneurysm Analysis/Simvascular/Displacement.avi,Aneurysm_Wall_Displacement.avi,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/LamPisoVel.avi,Aneurysm_Laminar_PISO_Velocity.avi,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/LamPisoVort.avi,Aneurysm_Laminar_PISO_Vorticity.avi,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/LamSimVel.avi,Aneurysm_Laminar_SIMPLE_Velocity.avi,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/LamSimVelCarraeu.avi,Aneurysm_Laminar_SIMPLE_Carreau_Velocity.avi,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/LamSimVelNNPL.avi,Aneurysm_Laminar_SIMPLE_Power_Law_Velocity.avi,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/LamSimVort.avi,Aneurysm_Laminar_SIMPLE_Vorticity.avi,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/LamSimVortCarreau.avi,Aneurysm_Laminar_SIMPLE_Carreau_Vorticity.avi,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/LamSimVortNNPL.avi,Aneurysm_Laminar_SIMPLE_Power_Law_Vorticity.avi,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/Patient_1/README.txt,OSMSC0138_Model_Source_Notes.txt,Code or archive contents,
Abdominal Aneurysm Analysis/Simvascular/Patient_1/Wave Forms/OSMSC0138_InflowWaveform.png,OSMSC0138_Inflow_Waveform.png,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/Picture1.png,Aneurysm_Pressure_Time_Series.png,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/Picture2.png,Aneurysm_Flow_Rate_Time_Series.png,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/Pressure.avi,Aneurysm_Pressure_Animation.avi,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/R.png,Aortic_Aneurysm_Reference_Illustration.png,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/SimVel.avi,Aneurysm_Velocity_Section_Animation.avi,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/TurbSimIntRealKE.avi,Aneurysm_Realizable_k_epsilon_Turbulence_Intensity.avi,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/TurbSimIntSSTKO.avi,Aneurysm_SST_k_omega_Turbulence_Intensity.avi,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/TurbSimVelRealKE.avi,Aneurysm_Realizable_k_epsilon_Velocity.avi,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/TurbSimVelSSTKO.avi,Aneurysm_SST_k_omega_Velocity.avi,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/TurbSimVortRealKE.avi,Aneurysm_Realizable_k_epsilon_Vorticity.avi,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/TurbSimVortSSTKO.avi,Aneurysm_SST_k_omega_Vorticity.avi,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/Velocity.avi,Aneurysm_Velocity_Animation.avi,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/WSS.avi,Aneurysm_Wall_Shear_Stress_Animation.avi,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/dw/AAA.jpg,Abdominal_Aortic_Aneurysm_Location_Illustration.jpg,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/dw/Obed_Report_Midterm.pdf,Aneurysm_Cardiovascular_Fluid_Mechanics_Midterm_Report.pdf,Document title/content,
Abdominal Aneurysm Analysis/Simvascular/dw/R.jpg,Blood_Vessel_Reference_Illustration.jpg,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/dw/Screen-Shot-2020-01-09-at-5.38.00-PM (1).webp,Aortic_Aneurysm_Reference_Illustration_Web.webp,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/dw/aneurysm.jpg,Abdominal_Aorta_Anatomical_Reference.jpg,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/normally pic.png,Aneurysm_Vessel_Geometry.png,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/slicr.avi,Aneurysm_Cross_Section_Scalar_Animation.avi,Image/video frame and source context,Scalar field not confidently identified; neutral name retained.
Abdominal Aneurysm Analysis/Simvascular/sss.avi,Aneurysm_Wall_Scalar_Animation.avi,Image/video frame and source context,Scalar field not confidently identified; neutral name retained.
Abdominal Aneurysm Analysis/Simvascular/surface mesh Jacobian O1.png,Aneurysm_Surface_Mesh_Jacobian.png,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/velocity of walls and outlet.avi,Aneurysm_Wall_and_Outlet_Velocity.avi,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/wall property in Y.png,Vessel_Wall_Property_Y_Component.png,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/wall property in x.png,Vessel_Wall_Property_X_Component.png,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/wall property mag.png,Vessel_Wall_Property_Magnitude.png,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular/wss_slice.avi,Aneurysm_Wall_Shear_Stress_Section.avi,Image/video frame and source context,
Abdominal Aneurysm Analysis/Simvascular.pdf,Aneurysm_SimVascular_Patient_Specific_Modeling_Report.pdf,Document title/content,
Abdominal Aneurysm Analysis/Stability of Blood Flow in an Idealized Model Aneurysm.pdf,Idealized_Aneurysm_Blood_Flow_Stability_Report.pdf,Document title/content,
